State,County,Year_detected
Virginia,Patrick,2018
Virginia,Pittsylvania,2012
Virginia,Powhatan,2018
Virginia,Prince Edward,2012
Virginia,Prince William,2010
Virginia,Richmond City,2019
Virginia,Smyth,2018
Virginia,Southampton,2019
Virginia,Stafford,2012
Virginia,Sussex,2019
Virginia,Warren,2012
West Virginia,Berkeley,2011
West Virginia,Boone,2013
West Virginia,Braxton,2012
West Virginia,Brooke,2011
West Virginia,Cabell,2015
West Virginia,Calhoun,2010
West Virginia,Clay,2011
West Virginia,Doddridge,2013
West Virginia,Fayette,2007
West Virginia,Gilmer,2011
West Virginia,Greenbrier,2011
West Virginia,Hampshire,2012
West Virginia,Hancock,2011
West Virginia,Hardy,2014
West Virginia,Harrison,2015
West Virginia,Jackson,2014
West Virginia,Jefferson,2013
West Virginia,Kanawha,2011
West Virginia,Lewis,2012
West Virginia,Lincoln,2012
West Virginia,Logan,2014
West Virginia,Mason,2014
West Virginia,McDowell,2014
West Virginia,Mercer,2012
West Virginia,Mineral,2012
West Virginia,Mingo,2011
West Virginia,Monongalia,2013
West Virginia,Morgan,2009
West Virginia,Nicholas,2010
West Virginia,Ohio,2014
West Virginia,Pleasants,2014
West Virginia,Putnam,2013
West Virginia,Raleigh,2010
West Virginia,Ritchie,2012
West Virginia,Roane,2009
West Virginia,Summers,2011
West Virginia,Wayne,2015
West Virginia,Webster,2011
West Virginia,Wirt,2011
West Virginia,Wood,2014
West Virginia,Wyoming,2014
Wisconsin,Adams,2014
Wisconsin,Brown,2009
Wisconsin,Buffalo,2014
Wisconsin,Calumet,2014
Wisconsin,Clark,2018
Wisconsin,Columbia,2014
Wisconsin,Crawford,2009
Wisconsin,Dane,2013
Wisconsin,Dodge,2013
Wisconsin,Door,2014
Wisconsin,Douglas,2013
Wisconsin,Eau Claire,2017
Wisconsin,Florence,2020
Wisconsin,Fond du Lac,2013
Wisconsin,Grant,2014
Wisconsin,Jefferson,2014
Wisconsin,Kenosha,2009
Wisconsin,Kewaunee,2018
Wisconsin,La Crosse,2011
Wisconsin,Milwaukee,2009
Wisconsin,Monroe,2014
Wisconsin,Oneida,2014
Wisconsin,Outagamie,2015
Wisconsin,Ozaukee,2008
Wisconsin,Pepin,2020
Wisconsin,Pierce,2019
Wisconsin,Price,2020
Wisconsin,Racine,2011
Wisconsin,Rock,2012
Wisconsin,Sauk,2013
Wisconsin,Shawano,2020
Wisconsin,Sheboygan,2014
Wisconsin,St. Croix,2018
Wisconsin,Trempealeau,2012
Wisconsin,Vernon,2009
Wisconsin,Walworth,2012
Wisconsin,Washington,2008
Wisconsin,Waukesha,2012
Wisconsin,Winnebago,2013
